	num_contigs	size	gc	md5	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	primary_cluster_id	secondary_cluster_id	predicted_host_range_overall_rank	predicted_host_range_overall_name	observed_host_range_ncbi_rank	observed_host_range_ncbi_name	reported_host_range_lit_rank	reported_host_range_lit_name	associated_pmid(s)
NZ_CP102834	1	130974	51.70415502313436	d0f10b93b29dd15784689e4d2b91fa19	IncFII,rep_cluster_1418,rep_cluster_2183	000129__CP018340,000759__NC_013950_00034,CP033468_00001	MOBF,MOBF	NC_021231_00058,CP035180_00077	MPF_F	NC_019155_00032,NC_019165_00034,NC_021654_00016,NC_019389_00080,NC_022609_00081,NC_014312_00128,NC_019389_00068,NC_023332_00154,NC_014312_00118,NC_014312_00116,NC_021502_00150,NC_021502_00131	-	-	conjugative	CP026588	0.00191916	Klebsiella pneumoniae	AA449	AI534	order	Enterobacterales	order	Enterobacterales	family	Enterobacteriaceae	20547789; 16940067; 20851899
NZ_CP076489	1	119713	33.88103213519	03d530bb7098a83eddfed0c83661a973	rep_cluster_980,rep_cluster_992	002463__CP002494_00007,002472__AE016833_00001	MOBC	NZ_ASWX01000006_00035	-	-	-	-	mobilizable	CP019514	0.017653	Enterococcus faecalis	AE309	AO064	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP076281	1	94001	49.29947553749428	eac721569a5d4bf622991c2d4a7f7e16	IncI-gamma/K1	KJ484639	MOBP	NC_019097	MPF_I	NC_019097_00056,NC_022267_00057,NC_019111_00038,NC_023290_00086,NC_015965_00072,NC_019097_00075,NC_022267_00069,NZ_CM001473_00069,NC_019097_00085	MOBP	HM021326	conjugative	CP016533	0.0187432	Salmonella enterica subsp. enterica serovar Heidelberg	AA474	AI602	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 30761100; 25987637; 21470454; 29899511; 20851899
NZ_CP097070	1	79433	34.697166165195824	ac417ef7539a546a6912d101f1181197	rep_cluster_1118,rep_cluster_992	000382__CP017110,002472__AE016833_00001	MOBP,MOBT,MOBV	NC_013533_00032,CP040905_00050,NC_022618_00010	-	-	-	-	mobilizable	CP028836	0.00279888	Enterococcus faecalis	AD582	AN186	multi-phylla	Firmicutes,Bacteroidetes,Proteobacteria	multi-phylla	Firmicutes,Bacteroidetes,Proteobacteria	-	-	-
NZ_CP102880	1	100448	49.97013380057343	2a3a0f82441f8f7de16cccd805f4d8bc	IncFIA,IncFII,rep_cluster_2183	AF250878,000124__KP125893_00142,CP017721_00179	MOBF,MOBF	CP035180_00077,NC_021231_00058	MPF_F	NC_014312_00116,NC_014312_00118,NC_023332_00154,NC_019389_00068,NC_014312_00128,NC_022609_00081,NC_019389_00080,NC_021654_00016,NC_019165_00034,NC_019155_00032,NC_021502_00131,NC_021502_00150	-	-	conjugative	MG736312	0.00363721	Klebsiella pneumoniae	AA440	AI513	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 25389419; 20547789; 19897651; 24247128; 20851899; 22511964
NZ_CP091238	1	68015	34.99816217010954	f2a596a1453f5c127eb7b2c65f977de7	rep_cluster_1118,rep_cluster_992	000382__CP017110,002472__AE016833_00001	MOBP,MOBT,MOBV	NC_013533_00032,CP040905_00050,NC_022618_00010	-	-	-	-	mobilizable	CP028836	0.00960897	Enterococcus faecalis	AD582	AN186	multi-phylla	Proteobacteria,Bacteroidetes,Firmicutes	multi-phylla	Proteobacteria,Bacteroidetes,Firmicutes	-	-	-
NZ_CP094664	1	27265	27.170364936732074	26b8c1f10f08784bbdf43bcd0c7bc1b6	rep_cluster_1017,rep_cluster_1017,rep_cluster_1215	000262__NC_007169_00002,000261__GQ900456,HF937104	-	-	-	-	MOBV,MOBV	AJ639924,JN106164	mobilizable	CP029654	4.76906e-05	Staphylococcus aureus	AA848	AJ244	class	Bacilli	class	Bacilli	-	-	-
NZ_CP076809	1	17469	35.846356402770624	3ce0b3d440876c504970ff5ab015333c	rep_cluster_1282	000599__KX426232_00098	MOBQ	CP032102_00178	-	-	-	-	mobilizable	MK323042	0.0134525	Acinetobacter baumannii	AC161	AL237	genus	Acinetobacter	genus	Acinetobacter	-	-	-
NZ_CP097214	1	113297	49.00218011068255	608b8c82ce2125552505f14260c241ba	IncFIA,IncFIA,IncFIB,IncFII	AF250878,CP022610_00144,000095__NZ_CP014273_00094,JN232517	MOBF,MOBP	NC_017627_00068,NC_021819_00066	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_010488_00021,NC_009837_00049,NC_013437_00116,08-5333_00200	-	-	conjugative	MF370216	0.0359759	Escherichia coli	AA304	AI157	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP098420	1	59955	35.009590526228	987f951b102d0d3c672c526bdb030149	rep_cluster_1118,rep_cluster_992	000391__NC_005564_00006,002472__AE016833_00001	MOBP,MOBT,MOBV	NC_013533_00032,CP040905_00050,NC_022618_00010	-	-	-	-	mobilizable	CP028836	0.0192445	Enterococcus faecalis	AD582	AN186	multi-phylla	Proteobacteria,Firmicutes,Bacteroidetes	multi-phylla	Proteobacteria,Firmicutes,Bacteroidetes	-	-	-
NZ_CP092448	1	20754	28.601715331984195	9b043018bbcfb30e9061fde857a21d77	rep_cluster_1017,rep_cluster_1733,rep_cluster_2100	000261__GQ900456,CP000737,AP003139	-	-	-	-	MOBV	CP020609	mobilizable	MK933273	0.000239895	Staphylococcus aureus subsp. aureus	AA841	AJ231	class	Bacilli	class	Bacilli	-	-	-
NZ_CP098027	1	59955	35.01292636143774	a844f327bf421fb3c5f68f2208fab6ba	rep_cluster_1118,rep_cluster_992	000391__NC_005564_00006,002472__AE016833_00001	MOBP,MOBT,MOBV	NC_013533_00032,CP040905_00050,NC_022618_00010	-	-	-	-	mobilizable	CP028836	0.0193079	Enterococcus faecalis	AD582	AN186	multi-phylla	Bacteroidetes,Firmicutes,Proteobacteria	multi-phylla	Bacteroidetes,Firmicutes,Proteobacteria	-	-	-
NZ_CP062367	1	27068	30.54529333530368	757daea83f37d03a7a05d9540c8af963	rep_cluster_1017,rep_cluster_1733,rep_cluster_2100	000261__GQ900456,CP000737,AP003139	-	-	-	-	MOBQ	AF001314	mobilizable	CP014422	7.15897e-05	Staphylococcus aureus	AA840	AJ227	class	Bacilli	class	Bacilli	-	-	-
NZ_CP074032	1	129015	50.58559082277255	75ab2c8ac798ce2e24479809cc248b0f	IncFIB,IncFIC,rep_cluster_2244	000095__NZ_CP014273_00094,AP001918,CP033091_00053	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF	CP000430	conjugative	CP024827	0.00328537	Escherichia coli	AA179	AH866	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 30761100; 19482926; 28842132; 15781495; 20851899; 16257053
NZ_CP102994	1	175819	52.74913405263367	a5cc1d9893b02723d933061ed196d227	IncFIB,IncFII,rep_cluster_2183	000097__NC_025166_00051,000128__CP023916,CP017721_00179	MOBF,MOBF	NC_021231_00058,CP035180_00077	MPF_F	NC_014312_00141,NC_019165_00034,NC_021654_00016,NC_019389_00080,NC_022609_00081,NC_014312_00128,NC_019389_00068,NC_023332_00154,NC_014312_00118,NC_014312_00116,NC_021502_00150,NC_021502_00131	-	-	conjugative	CP035907	0.00202665	Klebsiella pneumoniae	AA021	AH569	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 20547789; 19482926; 15781495; 20851899; 16257053
NZ_CP091902	1	88965	34.283145057044905	0faa6d39c977337dabad093dbc60437f	rep_cluster_1027	AY855841	MOBC	NZ_ASWX01000006_00035	-	-	-	-	mobilizable	CP036248	0.0186195	Enterococcus faecalis R712	AE315	AO075	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP102879	1	101383	51.50271741810757	84df2401e1ba9e5695a7c564318fba9a	IncFIA,IncR,rep_cluster_1418	AF250878,000204__CP008701_00115,000759__NC_013950_00034	-	-	-	-	MOBF	NZ_CP016035	mobilizable	CP028782	0.0141502	Klebsiella pneumoniae subsp. pneumoniae	AA556	AI768	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 16940067; 25389419; 19897651; 23711894; 24247128; 20851899; 22511964
NZ_CP075606	1	70628	34.03041286741802	d9ba6b3fa2fc8b52a5c6c5e626fdeadd	rep_cluster_180	001222__CP008815_00027	MOBP	NC_011642_00047	-	-	MOBP	CP012386	mobilizable	CP040897	0.00793	Enterococcus faecalis	AB530	AK348	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP097058	1	62360	34.83162283515074	1c2526fc413a4a336616fa0c35e23a26	rep_cluster_1118,rep_cluster_1118,rep_cluster_992	U35036,000391__NC_005564_00006,002472__AE016833_00001	MOBP,MOBT,MOBV	NC_013533_00032,CP040905_00050,NC_022618_00010	-	-	-	-	mobilizable	KX579977	0.0132573	Enterococcus faecalis	AD582	AN187	multi-phylla	Firmicutes,Bacteroidetes,Proteobacteria	multi-phylla	Firmicutes,Bacteroidetes,Proteobacteria	-	-	-
NZ_CP102196	1	154868	51.8564196606142	ebe8f900d1dfe45c48744ba90e64fab4	IncFIA,IncFII,IncR,IncU	MH263653_00001,JN232517,000204__CP008701_00115,000210__KF623109_00045	-	-	MPF_F	NC_014312_00116,NC_022609_00068,NC_022651_00077,NC_010409_00124	MOBP	AP014804	mobilizable	CP028796	0.0161084	Klebsiella pneumoniae	AA032	AH594	phylum	Proteobacteria	class	Gammaproteobacteria	phylum	Proteobacteria	10773089; 24096417; 18502921; 25389419; 19897651; 23711894; 30619542; 24247128; 20851899; 22511964
NZ_CP103509	1	111292	51.03152068432592	f7c75ad695c2b88e9736dbe2c7e0a3b1	IncFIA,IncFIA,IncFIB,rep_cluster_2131	000136__AP014877_00014,AF250878,000096__NC_019117_00097,CP030770_00142	MOBF,MOBP	NC_017627_00068,NC_021819_00066	MPF_F	NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF	NZ_CM001473	conjugative	CP010882	0.00363721	Escherichia coli	AA171	AH824	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP103541	1	140210	52.00128378860281	c54fcca8f771d4f7bfcff32dea4244ba	IncFIA,IncFIB,IncFIC,IncFII	000136__AP014877_00014,000095__NZ_CP014273_00094,AP001918,KF954760	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_010488_00021,NC_009837_00049,NC_013437_00116,08-5333_00200	-	-	conjugative	CP021204	0.0157245	Escherichia coli	AA170	AH819	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 28842132; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP101794	1	212541	49.669946033941685	0001ed435625b3fd9bc6dec541616879	IncFIB	000107__CP014778_00094	-	-	-	-	-	-	non-mobilizable	CP026166	0.000119496	Klebsiella pneumoniae	AA406	AI454	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
NZ_CP030155	1	109689	48.49529123248457	eaf586e75cbb24acc771ceab3d889a01	IncI-gamma/K1	MG764547	MOBP	NC_019097	MPF_I	NZ_CM001473_00069,NC_022267_00069,NC_019097_00075,NC_015965_00072,NC_023290_00086,NC_019111_00038,NC_022267_00057,NC_019097_00056,NC_019097_00085	MOBP	JN253636	conjugative	CP029842	0.00139189	Salmonella enterica subsp. enterica serovar Typhimurium	AA474	AI613	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 30761100; 25987637; 21470454; 29899511; 20851899
NZ_CP097036	1	57576	34.25211893844658	526757618542f3fecf21825215ab8648	rep_cluster_1027	AY855841	-	-	-	-	-	-	non-mobilizable	CP028722	0.0224204	Enterococcus faecalis	AE312	AO069	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP102072	1	54298	34.7968617628642	fe88cddde6bae0eaf81bbd3d480226be	rep_cluster_183	AM296544	-	-	-	-	-	-	non-mobilizable	CP028728	0.045678	Enterococcus faecium	AB920	AK900	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP103607	1	114874	53.91820603443773	fdf1f896cc5fb6792959d4b5542ae0de	IncFIB,IncFII,rep_cluster_2183	000097__NC_025166_00051,000129__CP018340,CP033468_00001	MOBF,MOBF	NC_021231_00058,CP035180_00077	MPF_F	NC_023905_00125,NC_019165_00034,NC_021654_00016,NC_019389_00080,NC_022609_00081,NC_014312_00128,NC_019389_00068,NC_023332_00154,NC_014312_00118,NC_014312_00116,NC_021502_00150,NC_021502_00131	-	-	conjugative	HG969997	0.00060662	Klebsiella pneumoniae	AA018	AH561	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 20547789; 19482926; 15781495; 20851899; 16257053
NZ_CP094858	1	46979	29.108750718406096	9de1814cc2d8a3963d9db4956af2c698	rep_cluster_1733,rep_cluster_2100,rep_cluster_2176	CP000737,AP003139,AP003089	-	-	-	-	MOBV	KC964607	mobilizable	NC_013348	0.00846101	Staphylococcus aureus	AB628	AK482	genus	Staphylococcus	genus	Staphylococcus	-	-	-
NZ_CP103516	1	198645	52.22885046187923	d265462a57526bdc7fa4076807b57034	IncFIA,IncFIB,IncFIC,IncFII	000136__AP014877_00014,000095__NZ_CP014273_00094,AP001918,KF954760	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_010488_00021,NC_009837_00049,NC_013437_00116,08-5333_00200	MOBF	CP000430	conjugative	CP009232	0.00060662	Escherichia coli	AA324	AI219	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 28842132; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP098744	1	66643	33.84901640082229	ac2b68816c4f8bc6a2ffe1e1630a3758	rep_cluster_1118,rep_cluster_992	000382__CP017110,002472__AE016833_00001	MOBV	NC_022618_00010	-	-	-	-	mobilizable	KX579977	0.0168963	Enterococcus faecalis	AD582	AN187	multi-phylla	Proteobacteria,Bacteroidetes,Firmicutes	multi-phylla	Proteobacteria,Bacteroidetes,Firmicutes	-	-	-
NZ_CP091236	1	18962	35.29690960869107	fdf5fb6ff9902ac285fd2114f36cf856	Inc18	AB290882	-	-	-	-	-	-	non-mobilizable	CP024844	0.0393656	Streptococcus iniae	AD058	AM485	order	Lactobacillales	order	Lactobacillales	-	-	-
NZ_CP097012	1	57161	34.20863875719459	65bdf9cfaaf3e5da92173150f7a35de5	rep_cluster_180	001222__CP008815_00027	MOBP	NC_013533_00032	MPF_T	NC_004671_00018,NC_006827_00028	-	-	conjugative	CP022485	0.0332581	Enterococcus faecalis ARO1/DG	AB528	AK341	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP103756	1	180962	52.00594599971264	582c28f8e6edbe2aa7e290d3164112ab	IncFIA,IncFIB,IncFIC,IncFII,rep_cluster_2131	000136__AP014877_00014,000095__NZ_CP014273_00094,AP001918,KF954760,CP030770_00142	MOBF,MOBP	NC_017627_00068,NC_021819_00066	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_010488_00021,NC_009837_00049,NC_013437_00116,08-5333_00200	MOBF	CP000430	conjugative	LO017737	0.00701675	Escherichia coli	AA324	AI219	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 28842132; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP091893	1	172742	34.67714857996318	5b2faa3d8f2db41c079f4238caea397f	rep_cluster_976	002460__CP015884	MOBC,MOBP	NZ_ASWX01000006_00035,NC_013533_00032	MPF_T	NC_004671_00018,NC_006827_00028	-	-	conjugative	CP030044	0.0404475	Enterococcus faecalis	AF662	AP646	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP101782	1	111949	54.16573618344067	549c22f3f5cd9da05298ba9c161fec07	IncFIA,IncFII,IncR,IncU	MH263653_00001,JN232517,000204__CP008701_00115,000210__KF623109_00045	-	-	MPF_F	NC_014312_00116	MOBP	AP014804	mobilizable	CP034125	0.00186568	Klebsiella pneumoniae	AA032	AH594	phylum	Proteobacteria	class	Gammaproteobacteria	phylum	Proteobacteria	10773089; 24096417; 18502921; 25389419; 19897651; 23711894; 30619542; 24247128; 20851899; 22511964
NZ_CP092539	1	24653	28.65371354399059	2388db8b682727309306b809975dc801	rep_cluster_1017,rep_cluster_1733,rep_cluster_2214	000261__GQ900456,CP000737,AP003139	MOBV	AB304512_00007	-	-	MOBQ	AF001314	mobilizable	NC_013292	0.000458924	Staphylococcus aureus	AA409	AI458	class	Bacilli	class	Bacilli	-	-	-
NZ_CP073947	1	87651	52.14544043992653	ddac06d7cd369b1cdabf1f85557087cf	IncFIA,IncFIC	000136__AP014877_00014,AY458016	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_010488_00021,NC_009837_00049,NC_013437_00116,08-5333_00200	MOBF	CP015086	conjugative	KX246267	0.00948708	Escherichia coli	AA323	AI214	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 25389419; 19897651; 28842132; 24247128; 20851899; 22511964
NZ_CP063981	1	65096	35.13579943468109	d85ade14c4e3f7b493bb6ce6cb8b3b2a	rep_cluster_980	002464__NC_004671_00001	MOBC	NC_002630_00014	-	-	-	-	mobilizable	CP028722	0.0418553	Enterococcus faecalis	AE312	AO069	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP101766	1	127176	53.110649808139904	b401598b333fb0683f6a5b3a3a04357b	IncFIA,IncFII,IncR	MH263653_00001,JN232517,000204__CP008701_00115	-	-	MPF_F	NC_014312_00116	MOBP	AP014804	mobilizable	CP033956	0.00165343	Klebsiella pneumoniae	AA032	AH594	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 25389419; 19897651; 23711894; 24247128; 20851899; 22511964
NZ_CP101774	1	190026	50.39573532042984	3e8c3c281f00d0d1d12cc7f43f3ee595	IncFIB,IncHI1B	000107__CP014778_00094,JN420336	-	-	-	-	-	-	non-mobilizable	CP034124	0.000680979	Klebsiella pneumoniae	AA406	AI453	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	18606786; 11254626; 19482926; 15781495; 20851899; 16257053
NZ_CP103627	1	140136	50.64722840669064	25569babde359534b6718127a5956558	IncFIB,IncFIC,rep_cluster_2244	000095__NZ_CP014273_00094,AP001918,CP033091_00053	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF	CP000430	conjugative	CP024827	0.00888862	Escherichia coli	AA179	AH866	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 30761100; 19482926; 28842132; 15781495; 20851899; 16257053
NZ_CP076277	1	149410	47.8548959239676	9c0787bc73819f362a888b0a17ed420f	IncFIA,IncFIA,IncFIB	CP022610_00144,AF250878,000095__NZ_CP014273_00094	MOBF,MOBF	NC_011964_00125,NC_017627_00068	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF	CP015086	conjugative	CP001162	0.0473443	Escherichia coli Vir68	AA302	AI151	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP092557	1	24653	28.65371354399059	2388db8b682727309306b809975dc801	rep_cluster_1017,rep_cluster_1733,rep_cluster_2214	000261__GQ900456,CP000737,AP003139	MOBV	AB304512_00007	-	-	MOBQ	AF001314	mobilizable	NC_013292	0.000458924	Staphylococcus aureus	AA409	AI458	class	Bacilli	class	Bacilli	-	-	-
NZ_CP074036	1	88772	50.227549227233816	efbd6e14aaadc14854dd014b3ba8ecbe	IncI-gamma/K1	CP003290	MOBP	NC_019097	MPF_I	NC_019097_00056,NC_022267_00057,NC_019111_00038,NC_023290_00086,NC_015965_00072,NC_019097_00075,NC_022267_00069,NZ_CM001473_00069,NC_019097_00085	MOBP	JN253636	conjugative	CP041521	0.00427048	Escherichia coli	AA474	AI619	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 30761100; 25987637; 21470454; 29899511; 20851899
NZ_CP075724	1	91697	51.52949387657176	59a359308adafcbd162dc9747da89f4c	IncX1,IncY	000215__KC853434_00019,000230__CP009168_00001	MOBC	NC_014725_00039	MPF_T	NC_011092_00103,NC_011092_00102,NC_011092_00100	-	-	conjugative	CP041112	0.00467416	Escherichia coli	AA887	AJ318	order	Enterobacterales	order	Enterobacterales	family	Enterobacteriaceae	21625636; 28031198; 22470007
NZ_CP075732	1	115794	51.46380641484015	d77cd3f7893bf7643f60b2de34661be8	IncFIA,IncFIB,IncFIC	CP022610_00144,000096__NC_019117_00097,AP001918	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF	CP000430	conjugative	CP015914	0.0142518	Escherichia coli	AA316	AI197	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 28842132; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP085290	1	75361	34.59879778665358	f05f951e151e718f149400c1f004eac1	rep_cluster_1118,rep_cluster_1118,rep_cluster_992	U35036,000391__NC_005564_00006,002472__AE016833_00001	MOBP,MOBT,MOBV	NC_013533_00032,CP040905_00050,NC_022618_00010	-	-	-	-	mobilizable	KX579977	0.0170687	Enterococcus faecalis	AD582	AN187	multi-phylla	Firmicutes,Proteobacteria,Bacteroidetes	multi-phylla	Firmicutes,Proteobacteria,Bacteroidetes	-	-	-
NZ_CP103646	1	187551	52.80110476617027	4205b2828e24029bb5a34a1bf6ee0da1	IncFIA,IncFIB,IncFIC,IncFII	000136__AP014877_00014,000095__NZ_CP014273_00094,AP001918,KF954760	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_010488_00021,NC_009837_00049,NC_013437_00116,08-5333_00200	MOBF	CP000430	conjugative	CP027703	0.00420918	Escherichia coli	AA324	AI219	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 28842132; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP065786	1	51905	35.62084577593681	8685a88788173fe75e22c82fccd0250b	rep_cluster_1027	000277__KT290268_00005	MOBC	NZ_ASWX01000006_00035	-	-	-	-	mobilizable	CP028722	0.0177122	Enterococcus faecalis	AE312	AO069	genus	Enterococcus	genus	Enterococcus	-	-	-
NZ_CP075741	1	77891	52.75962563068904	c59d183ea7da05b547d5412704befb1c	IncFIA,IncFIC	CP022610_00144,CR942285	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_010488_00021,NC_009837_00049,NC_013437_00116,08-5333_00200	MOBF	CP000430	conjugative	AP018353	0.00296902	Escherichia coli	AA316	AI194	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 25389419; 19897651; 28842132; 24247128; 20851899; 22511964
NZ_CP102856	1	114525	50.8316961362148	ef210ee1ab4be8c9c1e1901e59d53838	IncI-gamma/K1	CP001118	MOBP	NC_019097	MPF_I	NC_019097_00056,NC_022267_00057,NC_019111_00038,NC_023290_00086,NC_015965_00072,NC_019097_00075,NC_022267_00069,NZ_CM001473_00069,NC_019097_00085	MOBP	HM021326	conjugative	NC_024955	0.0010072	Escherichia coli	AA474	AI598	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 30761100; 25987637; 21470454; 29899511; 20851899
NZ_CP097040	1	39237	34.862502230037975	3735e3c707c48f6af5210723fd47ef94	Inc18,rep_cluster_185	AF007787,001274__DQ198088_00024	-	-	MPF_T	NC_013514_00028	-	-	non-mobilizable	CP038165	0.0323015	Enterococcus faecium	AB756	AK664	order	Lactobacillales	order	Lactobacillales	-	-	-
NZ_CP098254	1	27490	30.691160421971627	ebabb3e8d2e4ada26b1037b30e7f17f9	rep_cluster_1017,rep_cluster_1733,rep_cluster_2100,rep_cluster_2214	000261__GQ900456,CP000737,AP003089,AP003139	MOBV	AB304512_00007	-	-	MOBQ	AF001314	mobilizable	CP021906	2.38274e-05	Staphylococcus aureus	AA410	AI460	class	Bacilli	class	Bacilli	-	-	-
NZ_CP076579	1	18285	47.24090784796281	10fe8003b454ea5818b4291137c66be3	IncI-gamma/K1	KC788405	-	-	-	-	-	-	non-mobilizable	CP011336	0.0127767	Escherichia coli O104:H4 str. C227-11	AF268	AP198	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 30761100; 25987637; 21470454; 29899511; 20851899
NZ_CP103558	1	125598	52.2372967722416	f8d7b49bb71566813b0721fd6e6678ee	IncFIA,IncFIB,IncFIC,IncFII,rep_cluster_2131	000136__AP014877_00014,000095__NZ_CP014273_00094,AP001918,KF954760,CP030770_00142	MOBF,MOBP	NC_017627_00068,NC_021819_00066	-	-	-	-	mobilizable	CP018964	0.0090861	Escherichia coli	AA173	AH837	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 28842132; 15781495; 24247128; 20851899; 22511964; 16257053
NZ_CP092566	1	24653	28.65371354399059	2388db8b682727309306b809975dc801	rep_cluster_1017,rep_cluster_1733,rep_cluster_2214	000261__GQ900456,CP000737,AP003139	MOBV	AB304512_00007	-	-	MOBQ	AF001314	mobilizable	NC_013292	0.000458924	Staphylococcus aureus	AA409	AI458	class	Bacilli	class	Bacilli	-	-	-
NZ_CP074013	1	140432	49.91312521362652	664ee1cf2e5c8be69777cd252486fbd1	IncY	000230__CP009168_00001	-	-	-	-	MOBF	NZ_CP013834	mobilizable	CP010154	0.0349268	Escherichia coli	AA812	AJ177	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	28031198
